Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total Sales,YOY Change,US Marketshare,Marketshare change,Best Selling Model,Second Best Selling Model
2005,168143,176662,249987,220997,226318,316445,294630,191875,197959,145032,159817,236644,2584509,8.9383,0.151,-0.2309,Silverado,Malibu
2006,168585,170775,210113,202877,202278,234890,237036,203348,186073,167655,165836,194969,2344435,-0.0929,0.1406,-0.0734,Silverado,Malibu
2007,144439,183362,207024,182625,218452,181673,180406,223412,189013,173717,148015,187200,2219338,-0.0534,0.1368,-0.0282,Silverado,Malibu
2008,146338,162185,160127,152041,162282,154905,137188,186023,173890,108107,95732,137650,1776468,-0.1996,0.1332,-0.0267,Silverado,Malibu
2009,77307,75878,94850,116046,129016,106982,125332,168669,102408,117306,100223,135583,1349600,-0.2403,0.1284,-0.0374,Silverado,Malibu
2010,105130,100549,134655,135182,167025,141041,139863,131912,121412,119172,112432,143590,1551963,0.1499,0.1324,0.03,Silverado,Malibu
2011,125389,142919,148197,169794,161401,156838,149005,152779,147611,131804,128907,161158,1775802,0.1442,0.1374,0.0366,Silverado,Malibu
2012,123864,302394,173073,155487,177943,180087,138942,169798,149801,135305,128867,166991,2002552,0.1277,0.1282,-0.0715,Silverado,Malibu
2013,137304,158541,173859,172460,179510,193460,162397,187740,127785,154944,145089,153493,1946582,-0.0279,0.1242,-0.0326,Silverado,Cruze
2014,119089,153913,179681,181648,205010,188567,175065,185930,153873,155965,149673,184938,2033352,0.0446,0.123,-0.0101,Silverado,Cruze
2015,142882,159788,173886,187837,207970,181256,189090,183098,170675,183464,156907,188794,2125647,0.0454,0.1215,-0.0124,Silverado,Cruze
2016,139803,158644,176283,183442,169331,181387,178820,175965,170237,181964,169675,212959,2098510,-0.0128,0.1193,-0.0184,Silverado,Cruze
2017,135170,164095,172458,164367,162950,169838,151502,196007,199801,175110,167777,206804,2065879,-0.0155,0.1196,0.0025,Silverado,Cruze
2018,141947,149605,199367,168014,168284,175421,152804,171902,159171,179185,172293,179212,2017205,-0.0236,0.1161,-0.03,Silverado,Cruze
2019,148602,142654,160486,162011,175322,149551,166419,186387,153107,164017,169461,164022,1942039,-0.0373,0.1139,-0.0193,Silverado,Equinox
2020,140809,178302,110418,59471,132149,138761,157488,139990,151656,175755,144370,200864,1730033,-0.1092,0.1176,0.0316,Silverado,Equinox
2021,136632,173575,153706,145729,140125,145729,96612,93033,96612,95712,95712,95712,1468889,-0.1509,0.0982,-0.1973,Silverado,Equinox
2022,109638,109638,123343,131178,126319,126319,122238,126939,122238,140341,131850,142834,1512875,0.0299,0.1105,0.1113,Silverado,Equinox
2023,130631,125407,141080,152852,146974,152852,144522,156086,150304,127256,134676,140060,1702700,0.1255,0.1096,-0.0085,Silverado,Equinox
2024,127635,127635,132740,146327,152180,152180,138794,155452,127692,141470,166075,172223,1740403,0.0221,0.1084,-0.0112,Silverado,Equinox
2025,147433,141536,153331,160623,166803,148268,156477,136861,162863,154127,142713,148422,1819457,0.0454,0.1124,0.0361,Silverado,Equinox
